uuid,observed_on_string,observed_on,time_observed_at,num_identification_agreements,num_identification_disagreements,latitude,longitude,positional_accuracy
153763c9-6187-44bc-868d-2bd058c325be,2012-03-27,2012-03-27,,8,0,-34.5957634544,19.3267249945,
4e624a8a-d999-4e6c-98d1-59f10f8c82bf,2012-10-01,2012-10-01,,8,0,37.6953753508,-123.0057942867,
935d1ea1-cbbb-4c7c-b47d-a327605790a1,2007-11-03,2007-11-03,,11,0,29.1476636785,-118.2908248901,
f60bb99e-3151-42c2-977b-c10c43d64bc3,2007-11-02,2007-11-02,,8,0,29.1139343822,-118.1743217335,
20f7e93a-3fa0-4853-b046-7a2d11382f4e,2007-11-01,2007-11-01,,8,0,29.1434657364,-118.2697105408,
9246f4be-b9e9-4f25-932c-ffc15f9bb615,2013-08-14,2013-08-14,,16,0,28.96874,-115.374985,3712
2c5a59fa-42c0-4d0f-93a0-9023fee99c58,2008-10-15 11:05:34,2008-10-15,2008-10-15 18:05:34 UTC,8,0,29.048592,-118.202934,
5776c2b2-92af-40f7-8a44-5960df19a5e2,2008-12-19,2008-12-19,,7,0,-34.595431,19.304947,7329
fb3a725f-0226-4112-b8a7-7ddbca1c28bf,2012-11-14,2012-11-14,,10,0,-34.018525,151.230782,38
114291c6-aeae-42e4-99d5-a3750e34f883,2014-03-22,2014-03-22,,7,0,36.522618,-121.943135,213
fff94456-3115-4e38-9a6a-58c719237444,2013-10-16,2013-10-16,,1,0,28.22697,-114.543457,61265
e72cce86-491e-40ad-a15b-cae315eb945a,2006-09-05,2006-09-05,,7,0,29.1618398698,-118.3574568554,1857
3553e745-e530-4e0b-afe7-5b0b982153b4,2009-10-12 03:33:54,2009-10-12,2009-10-12 07:33:54 UTC,8,0,-34.676587,19.334908,9166
4d59c77d-6865-4634-8313-86c5090c2514,2004-09-24 11:34:49,2004-09-24,2004-09-24 15:34:49 UTC,12,0,41.505145,-70.703738,58
c2ae1fc2-61a1-45e9-a811-1c88858b3734,2014-08-11,2014-08-11,,7,0,33.418351,-117.622386,315
d2efcd09-6ca0-4604-8f2c-f75f9bd058e4,2008-10-24 09:49:14,2008-10-24,2008-10-24 13:49:14 UTC,3,0,37.699317,-123.003614,696
2c7f0a28-52c9-4c67-a3be-4055b6052471,2014-12-11 23:54:21,2014-12-11,2014-12-12 07:54:21 UTC,6,0,-34.59665,19.310898,1750
b4215161-5da2-40ed-be0a-472e19a313a7,2015-06-25,2015-06-25,,1,0,36.970055,-121.91391,212
1c33eea8-b799-4746-bffb-fbc8eddb7e30,2015-07-01,2015-07-01,,5,0,36.8664526359,-121.8538923729,48
28b52669-64a5-47c3-8da6-a542287e63de,2015-07-02,2015-07-02,,2,0,36.9150217657,-121.835343766,48
7b28980e-b78c-4d5a-a3dc-95a684a6aeab,2015-07-09,2015-07-09,,8,0,41.374319,-70.784097,2197
1d195bc4-0784-4a8e-86f1-5e61c0a1b2b5,2015-07-14 13:56:05,2015-07-14,2015-07-14 20:56:05 UTC,2,0,36.97033,-121.919661,344
b0d314b0-f5a1-499f-91cc-39c0d986dba1,Fri Aug 21 2015 12:33:43 GMT-0700 (PDT),2015-08-21,2015-08-21 19:33:43 UTC,5,0,36.7418257245,-121.8667108215,5
6e247a30-296c-4b0e-b77b-76e590c89083,2015-08-21 11:31:32,2015-08-21,2015-08-21 18:31:32 UTC,2,0,36.9246514606,-121.9313163477,26045
17ec8616-3d89-4da2-8a99-cd43b22f2163,2015-10-10,2015-10-10,,6,0,37.827097,-122.421228,
e7b6dc10-d3d2-4497-9675-517a410890cc,2015-10-14,2015-10-14,,6,0,37.639324,-122.508674,
6e5e61e2-ccb6-47c1-a109-76c7e7d4aa8e,2016-06-05,2016-06-05,,3,0,36.8826578031,-121.9016022809,291
61cbb4ae-c014-42f5-912a-eb75838d2a32,2014-05-03,2014-05-03,,9,0,-46.834171,168.210546,363
db01b5f5-847f-405b-a500-262fb7e98599,2014-05-03,2014-05-03,,6,0,-46.833276,168.213541,726
2a9b576d-ee04-4a58-b16f-d2e8bbc4e442,2013-04-13,2013-04-13,,6,0,-34.632996,19.277658,437
a9a8456d-fc90-48b8-82c1-844869e76e6d,2016-06-25 14:34:02,2016-06-25,2016-06-25 21:34:02 UTC,7,0,36.8374379186,-121.8465837579,2093
91c903cf-bbdc-4562-8f39-0f44f12b5e21,2016/07/09 12:54 PM PDT,2016-07-09,2016-07-09 19:54:00 UTC,2,0,36.8193836131,-121.849680109,61
adf2cf84-89f2-4011-8f2e-adb2f0937761,2015/01/17 4:50 PM NZDT,2015-01-17,2015-01-17 03:50:00 UTC,5,0,-36.5362007923,174.3719100952,488
a0a3ccc1-bce6-4075-a8b7-dcb3dcec2d4e,2009/09/09 12:31 PM NZST,2009-09-09,2009-09-09 00:31:00 UTC,5,0,-38.7249833,178.2970833,1953
266da903-e091-4d1b-a8ae-2454fb58739d,28 January 2006,2006-01-28,,9,1,-37.0665567406,174.7357732646,488
22ec02dd-c7e2-4320-b9ea-6446244fde0d,2010/08/21 12:44 PM NZST,2010-08-21,2010-08-21 00:44:00 UTC,10,0,-38.7249833,178.2970833,3906
8023b636-b96a-4e64-9402-55092af0105e,Sun Aug 14 2016 12:36:32 GMT-0700 (PDT),2016-08-14,2016-08-14 19:36:32 UTC,2,0,33.45028,-117.70298,
e6cdd5c4-0555-4a89-90c6-7bd781ce9b0f,2014-06-01,2014-06-01,,6,0,-34.137339,18.582494,236
c8c51540-7d3b-4d57-9f64-4592cfe0ed4a,Sat Jul 09 2016 12:38:56 GMT-0700 (PDT),2016-07-09,2016-07-09 19:38:56 UTC,4,0,36.96445084,-121.9202860785,946
a2bdc4aa-3b30-49be-9ec0-d8c3d01cac92,2011/09/24 1:46 PM PDT,2011-09-24,2011-09-24 20:46:00 UTC,3,0,37.6990342079,-123.0029296875,1953
e5d323b3-3eb0-4f98-bf7d-dd663415d36f,2011/11/08 1:08 PM PST,2011-11-08,2011-11-08 21:08:00 UTC,6,0,37.6985723,-123.0022067,678
6705adbe-117c-43e4-945e-108b745f7b1b,2006/03/20 4:55 PM NZST,2006-03-20,2006-03-20 04:55:00 UTC,5,0,-44.224241,-175.986171,189
b62281e7-bc5a-4ceb-805e-7a72be9c727c,2016-08-28,2016-08-28,,9,0,29.036961,-118.190918,
2fe14776-f91c-4625-b93e-f7d75944aa12,2016-09-14,2016-09-14,,2,0,37.752402,-122.512456,
62963018-674a-44f0-9b5d-326bfcfd6135,2015/11/11 9:26 AM UTC,2015-11-11,,8,0,-34.634953652,19.3918991089,977
f5ed8fe9-15f6-4d79-bcba-1b49ba250d1a,2009-10-09 18:35:27,2009-10-09,2009-10-09 23:35:27 UTC,2,0,37.6950413511,-123.0065395183,92
d851d308-63bc-401f-87ab-58b42d3ae1a1,2012/04/13,2012-04-13,,6,0,-35.322692669,136.1183519568,2854
e7849772-4001-4b7c-a506-3ff2aef12546,2016/10/18 3:13 PM PDT,2016-10-18,2016-10-18 22:13:00 UTC,20,0,37.6969968156,-122.9967391491,85
bd52d8ec-4e47-4aa8-bf1e-0fda4135d6dc,2015/06/11 10:03 AM EDT,2015-06-11,2015-06-11 14:03:00 UTC,7,0,-34.6841036,19.4147569,914
3c698cac-b65b-43e3-95e8-4217f8e8820b,2013/07/14 3:00 PM HST,2013-07-14,2013-07-15 01:00:00 UTC,10,0,-35.325815214,136.1159276962,61
e2265196-627c-45a5-87df-74ee664563f3,2013/03/18,2013-03-18,,6,0,-46.9081940865,168.2541561127,122
157e5bea-6005-4b78-a522-ccc74ad95a57,2014/04/03,2014-04-03,,5,0,-46.8343781112,168.2229995728,122
6b00c2ad-6743-4ac6-a684-a091a191cfcf,2011/04/05,2011-04-05,,8,0,-46.8343184188,168.2232570648,153
7bc99008-7225-45d5-a715-603b09805fad,2015/06/11,2015-06-11,,8,0,-46.8347891329,168.2228279114,122
15760998-412b-42b9-a93f-c4868a0802d5,2009/04/02 1:41 PM NZDT,2009-04-02,2009-04-02 00:41:00 UTC,7,0,-46.83498192,168.2223129272,244
21bfb0f3-a9b4-4844-987e-ca79b3cb97ee,2013/03/16,2013-03-16,,7,0,-46.8350993537,168.2233428955,244
fdd0d343-c91b-4221-a75d-520cc50cee2d,2015/01/17,2015-01-17,,7,0,-36.483748,174.338951,426
7a752e52-e32f-4cdc-8e86-ffa5d9e4fad1,2017/01/29 2:30 PM AEDT,2017-01-29,2017-01-29 03:30:00 UTC,13,0,-38.4793946733,144.7695922852,19780
74ee07bc-85b5-4a81-97eb-985088ef720e,Wed Sep 19 2012 10:43:48 GMT-0700 (PDT),2012-09-19,2012-09-19 17:43:48 UTC,4,0,37.6947335753,-123.000712755,196
7dc75130-c4bc-4f5c-8484-a2fa2c8ee947,2017/04/08 5:02 PM -0700,2017-04-08,2017-04-09 00:02:00 UTC,7,0,36.9581572615,-121.9674972718,192
e39c4785-913d-458e-8dbb-213f3f59fbf9,2017/05/06 8:24 AM PDT,2017-05-06,2017-05-06 15:24:00 UTC,9,0,33.7529234059,-118.2253252515,17605
49268194-8fb4-4800-8029-58d8a3da84e5,2017/06/05 4:09 PM PDT,2017-06-05,2017-06-05 23:09:00 UTC,2,0,36.9484789467,-121.8132527081,31
c659be60-eb68-4796-9a9f-2cef3cf05d3c,2017/06/05 1:11 PM PDT,2017-06-05,2017-06-05 20:11:00 UTC,2,0,36.8909063077,-121.9211065443,31
c8a01e58-c34a-4786-855f-85aeda6bd97d,Sat Jun 17 2017 15:30:38 GMT+1000 (GMT+10),2017-06-17,2017-06-17 05:30:38 UTC,9,0,-32.6936773667,152.2011410905,324
054e51d0-47fe-4e22-b9c8-3890d1db438b,2017/06/19 1:40 PM PDT,2017-06-19,2017-06-19 20:40:00 UTC,2,0,36.8852337939,-121.8853950358,22
7448be4f-d2c3-4986-93ad-d657373d9c0c,2017/06/17 10:26 AM NZST,2017-06-17,2017-06-16 22:26:00 UTC,7,0,-46.8336909149,168.2220605901,244
84953d17-0c43-4653-8fbb-8f4074c654d9,2017-06-17,2017-06-17,,7,0,-46.831792728,168.2222351352,203
8af2b3a5-fae2-4d39-a8ca-8f5dc870d5f4,2017/06/27 3:54 PM PDT,2017-06-27,2017-06-27 22:54:00 UTC,3,0,36.850744737,-121.9354252494,31
f62ceb2a-dc3b-4fa4-b50a-59bc0faab9a4,2009/09/29 9:17 AM UTC,2009-09-29,,5,0,37.6956215441,-123.0059981346,31
da7c6c00-3b79-4b3c-ae3e-0c50868e6a78,2017/07/15 11:53 AM PDT,2017-07-15,2017-07-15 18:53:00 UTC,3,0,36.8883103306,-121.8996967966,122
58236286-e7b5-4d59-a16d-95db82e7c7c7,2017/07/15 11:56 AM PDT,2017-07-15,2017-07-15 18:56:00 UTC,4,0,36.9634916738,-121.9000380387,122
7131ab29-124d-4281-99f2-54e83eeae202,2017/07/15 11:53 AM PDT,2017-07-15,2017-07-15 18:53:00 UTC,5,0,36.8526679212,-121.9698683321,122
6bb42ac8-2ade-4bd6-b1fe-848247327147,Sat Jul 15 2017 14:00:57 GMT-0700 (PDT),2017-07-15,2017-07-15 21:00:57 UTC,3,1,36.9719361485,-121.9208233074,198
8a2c2987-bf68-4de6-84ec-5c16757e3a61,2012/09/24 7:12 AM BOT,2012-09-24,2012-09-24 11:12:00 UTC,11,0,28.8950114558,-118.2834434509,122
ab45c5d8-5b84-4b22-a8c0-00c9eb003ee2,2017/08/03 6:43 PM PDT,2017-08-03,2017-08-04 01:43:00 UTC,4,0,36.8350860143,-121.8227203168,137
be73c93a-a5ea-406d-98b0-fd7a2117ca82,Wed Jan 11 2017 22:04:01 GMT-0500 (EST),2017-01-11,2017-01-12 03:04:01 UTC,8,0,-34.7061625987,19.372578542,21785
82966913-56dc-4343-a868-36d7badf2eaf,Mon May 01 2017 16:11:22 GMT-0400 (EDT),2017-05-01,2017-05-01 20:11:22 UTC,12,0,-34.1898906017,22.1800801812,2130
8385cd81-be49-482f-8eaa-b8d362805cdc,2017-09-11,2017-09-11,,16,0,-33.800806,151.294393,27
eb82ce1e-630c-4033-9c49-9ce5f54ff87f,2017-09-14 7:48:23 AM GMT+01:00,2017-09-14,2017-09-14 05:48:23 UTC,5,0,-34.6391677856,19.4311103821,
d230dc84-66d9-426b-a901-e0be2c178504,2017/05/17 6:43 AM +1200,2017-05-17,2017-05-16 18:43:00 UTC,6,0,-46.8341415358,168.2119354291,359
834f0f28-32c6-4d67-be58-222711927ee0,2017/05/17 6:47 AM +1200,2017-05-17,2017-05-16 18:47:00 UTC,8,0,-46.8340241,168.2115921063,399
46a67f73-4f8e-4552-9532-656f045b4393,2017/05/17 6:55 AM +1200,2017-05-17,2017-05-16 18:55:00 UTC,6,0,-46.8342589714,168.210562138,360
8f217c8b-b4ad-46a1-9f97-a640f611f4bc,2017/05/17 7:06 AM +1200,2017-05-17,2017-05-16 19:06:00 UTC,6,0,-46.8342589714,168.2112487835,386
180671f9-804e-4ad4-bde8-757f028641e9,2017/05/17 10:42 AM NZST,2017-05-17,2017-05-16 22:42:00 UTC,10,0,-46.8343764068,168.2109054608,399
c8812bac-7b1d-42a1-a4a5-4bfcc31e5628,2017/05/17 7:19 AM +1200,2017-05-17,2017-05-16 19:19:00 UTC,8,0,-46.8340241,168.2110771222,399
781356a9-f756-47ec-ab38-ef1f0bc2fe11,Sun Jul 16 2017 20:54:19 GMT+1000 (GMT+10),2017-07-16,2017-07-16 10:54:19 UTC,11,0,-35.3428350286,136.1263660445,5726
27fd188c-44da-4948-b6cc-74fd560d87e6,2017/09/17 12:00 PM +1200,2017-09-17,2017-09-17 00:00:00 UTC,12,0,-34.63902,173.019927,218
2e88c80f-b514-4294-b980-4e1532b88fd0,2016/01/29 12:09 PM +1300,2016-01-29,2016-01-28 23:09:00 UTC,7,0,-34.5510759849,172.7389003398,2000
b305b30e-1a18-46dd-874c-082a839eb9bc,2017/10/15 6:55 AM +1300,2017-10-15,2017-10-14 17:55:00 UTC,7,0,-37.483758,175.97155,500
a2458423-be37-40c9-aa83-e797ee15a432,Fri Oct 27 2017 10:33:24 GMT-0700 (PDT),2017-10-27,2017-10-27 17:33:24 UTC,2,0,37.6952866667,-122.9975966667,
ff6089b4-11f6-453c-be35-870ef2e64b95,1998/09/30 4:06 PM PDT,1998-09-30,1998-09-30 23:06:00 UTC,9,0,37.6921865356,-122.997761563,495
058703c0-4c2a-40e3-a9e8-c89623f13747,2017/08/31,2017-08-31,,19,0,-29.2669003198,-177.9598200706,1268
0de6eb74-ab8b-487d-9413-adbe0cef3263,2017/12/27 1:08 PM NZDT,2017-12-27,2017-12-27 00:08:00 UTC,6,0,-46.8314404466,168.214167027,778
cc55e830-ecf6-4fd6-938b-e121fac2ad29,2017/12/20 11:37 AM NZDT,2017-12-20,2017-12-19 22:37:00 UTC,3,0,-46.8324974107,168.2133087201,778
16b1043b-7ae6-4805-be54-67208a21ae9b,2017/12/28 12:30 PM NZDT,2017-12-28,2017-12-27 23:30:00 UTC,6,0,-46.8314404023,168.2122788342,778
68889f3c-54b5-4a70-b937-d2ffef81153c,2017/12/29 9:03 am NZDT,2017-12-29,2017-12-28 20:03:00 UTC,5,0,-46.8337892275,168.2131370587,778
2e68c15e-495f-454f-84ec-9e5e92dfadd1,2017/12/29 9:03 am NZDT,2017-12-29,2017-12-28 20:03:00 UTC,5,0,-46.8329520615,168.2134722033,244
341c5812-a663-46c2-a6be-955f60bae601,2017/12/29 9:03 aM NZDT,2017-12-29,2017-12-28 20:03:00 UTC,5,0,-46.8333195117,168.210733868,778
7082536e-d15f-4edb-a6d6-f026ab94e1bb,2017/12/29 9:03 AM,2017-12-29,2017-12-28 20:03:00 UTC,5,0,-46.8336717801,168.2114204702,778
67f2afa1-d15c-4a12-88fa-4258de886899,2017/12/29 9:03 PM NZDT,2017-12-29,2017-12-29 08:03:00 UTC,5,0,-46.8333195086,168.2127937505,778
fad0dc1b-2601-437e-a6e8-4b00210567ee,2017/12/29 9:03 PM NZDT,2017-12-29,2017-12-29 08:03:00 UTC,5,0,-46.8327323308,168.2129653579,778
090b1b29-c07e-4c99-bcc8-fc4a5a0551f6,2017/12/29 8:02 AM +1300,2017-12-29,2017-12-28 19:02:00 UTC,6,0,-46.8315579036,168.2098756615,778
87843828-d769-4777-9a20-1405ecbdeb5c,2017/12/29 8:17 AM NZDT,2017-12-29,2017-12-28 19:17:00 UTC,9,0,-46.8339066669,168.2124504242,778
bee76e8b-4a11-43b6-b04b-55a796575665,2017/12/29 8:27 AM NZDT,2017-12-29,2017-12-28 19:27:00 UTC,7,0,-46.8340241,168.2182869,778
7f4fdb22-a731-4a86-8e5d-33da984ed9e5,2017/12/29 8:33 AM NZDT,2017-12-29,2017-12-28 19:33:00 UTC,6,0,-46.8323800463,168.2126221505,778
35062d9f-6792-436f-9acf-339cd20a95f2,2017/12/29 8:36 AM NZDT,2017-12-29,2017-12-28 19:36:00 UTC,5,0,-46.8357855642,168.2129653813,778
20aa303d-9a4a-4b96-b085-ad8aa021e84c,2017/12/29 8:37 AM NZDT,2017-12-29,2017-12-28 19:37:00 UTC,6,0,-46.8340241,168.2182869,778
f2814fb2-9d8a-4ee1-9934-754358b160ac,2018/01/03 8:41 AM NZDT,2018-01-03,2018-01-02 19:41:00 UTC,7,0,-46.8357855421,168.2126219703,778
d55c5020-c4db-4468-ac1d-e2d38fa6a13a,2018/01/03 8:43 AM NZDT,2018-01-03,2018-01-02 19:43:00 UTC,7,0,-46.8337892352,168.2146820107,778
4abeb5c3-6a58-455c-ae2e-ef0aa1f85687,2018/01/03 8:53 AM NZDT,2018-01-03,2018-01-02 19:53:00 UTC,7,0,-46.8340241,168.2182869,778
03f80805-65e5-44c3-a314-628488d29266,2018/01/03 8:59 AM NZDT,2018-01-03,2018-01-02 19:59:00 UTC,6,0,-46.8339066662,168.2138237062,778
3cd905f7-c967-4cd2-9157-02ca6b596281,2018/01/03 9:00 AM NZDT,2018-01-03,2018-01-02 20:00:00 UTC,8,0,-46.8339066654,168.2143386934,778
65540180-c71e-49a9-8f32-0a6b2ec41d18,2018/01/03 9:19 AM NZDT,2018-01-03,2018-01-02 20:19:00 UTC,6,0,-46.8339066695,168.2127937414,778
9ce11e65-b64c-4411-bd7b-976503ab738a,2018/01/03 9:21 AM NZDT,2018-01-03,2018-01-02 20:21:00 UTC,6,0,-46.8340241,168.2182869,778
11ed4fdc-8245-4d96-9594-43450468ac66,2018/01/03 9:22 AM NZDT,2018-01-03,2018-01-02 20:22:00 UTC,7,0,-46.8343763938,168.2145103627,778
6bd072a2-9129-4175-a915-ae2b1929ffbb,2018/01/20 10:06 AM NZDT,2018-01-20,2018-01-19 21:06:00 UTC,7,0,-46.8329671818,168.2127937442,778
d90642e2-cb9e-4efd-8fc8-15a2ff23d928,Mon Sep 11 2017 13:33:24 GMT-0600 (GMT-6),2017-09-11,2017-09-11 19:33:24 UTC,9,0,29.1833873266,-118.2279908225,12536
09c0cb7d-dc26-4e99-9cbe-0d265de81d94,Wed May 07 2014 18:43:06 GMT-0400 (EDT),2014-05-07,2014-05-07 22:43:06 UTC,6,0,-34.1429459753,18.5717167886,4207
7cfaca51-5883-4f52-8404-51171a3fcf5d,2018/03/26,2018-03-26,,3,0,-34.4205482467,172.8546184297,30
c55a3e17-de40-4c49-96ad-2eb79051cdd9,2014-04-30,2014-04-30,,9,0,-34.1448,22.1111,1
b50857cd-4da8-4e60-8fc4-1c0a73710d51,2015-09-06,2015-09-06,,7,0,-34.618,19.358,110
